Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
29-07-2019,420,427,415.65,416.9,419.36,10278,409,4310181,4549,44.26,11.35,-3.1
26-07-2019,416.65,432,411.6,423.4,423.64,11214,718,4750746,3652,32.57,20.4,6.75
25-07-2019,423.3,427.9,415.05,419.25,423.11,20016,937,8469009,10084,50.38,12.85,-4.05
24-07-2019,424.75,427.4,412.95,419.45,419.29,15617,734,6548088,3887,24.89,14.45,-5.3
23-07-2019,420,429.05,417.9,422.55,423.41,19939,876,8442335,6860,34.4,11.15,2.55
22-07-2019,413.95,423.6,395,419.9,415.03,26894,1072,11161763,6585,24.48,28.6,5.95
19-07-2019,419.95,419.95,402.45,407.2,408.78,23056,885,9424764,7966,34.55,17.5,-12.75
18-07-2019,421,423.6,411,412.4,416.71,14530,576,6054837,4585,31.56,12.6,-8.6
17-07-2019,421.9,427.5,418.95,420.7,422.93,22453,889,9496039,5242,23.35,8.55,-1.2
16-07-2019,414.3,425.95,414.3,417.25,420.5,20291,848,8532346,4517,22.26,11.65,2.95
15-07-2019,419.9,429.85,416.55,418.15,421.57,23363,837,9849072,7006,29.99,13.3,-1.75
12-07-2019,409.75,432,409.75,415.45,422.22,50846,2146,21468240,15854,31.18,22.25,5.7
11-07-2019,426.45,427,407.8,410.1,414.83,22501,1084,9333981,9049,40.22,19.2,-16.35
10-07-2019,435,435.6,417.35,419.25,429.14,24675,1070,10589026,8181,33.16,18.25,-15.75
09-07-2019,427.5,437.3,415,427.95,427.94,46969,1837,20100081,8272,17.61,22.3,0.45
08-07-2019,460.9,460.9,419.25,429.75,435.47,52937,1868,23052290,16637,31.43,41.65,-31.15
05-07-2019,471.25,499,460,464.15,484.75,77402,2649,37520916,21413,27.66,39,-7.1
04-07-2019,487,494.5,478.25,484.5,487.08,43130,1321,21007716,12622,29.26,16.25,-2.5
03-07-2019,485.75,497.75,398,483.85,481.6,67514,2745,32514478,11747,17.4,99.75,-1.9
02-07-2019,494,503,472.65,481.95,482.2,56668,2014,27325338,11288,19.92,30.35,-12.05
01-07-2019,485.1,509.5,485.1,495.5,496.13,58162,2136,28855873,12817,22.04,24.4,10.4
28-06-2019,483.8,510.6,476,486.9,497.06,179366,5918,89155682,31838,17.75,34.6,3.1
27-06-2019,447.75,484.55,442.85,478.55,470.37,163629,5597,76966035,29062,17.76,41.7,30.8
26-06-2019,399,445.5,398.2,439.7,427.22,132541,5820,56624426,41028,30.95,47.3,40.7
25-06-2019,397.65,404,396,399.25,399.48,11811,552,4718213,6408,54.25,8,1.6
24-06-2019,395,404.9,392.8,398.75,399.77,17050,715,6816161,6770,39.71,12.1,3.75
21-06-2019,400,404.9,392,395,400.29,36356,1149,14552812,16026,44.08,12.9,-5
20-06-2019,395.1,413.95,380,400.4,400.36,48620,1640,19465532,16662,34.27,33.95,5.3
19-06-2019,438.15,445,372.15,400.25,401.43,99468,3103,39929540,27521,27.67,72.85,-37.9
18-06-2019,447,448,429.2,433.3,436.38,24093,979,10513785,7624,31.64,18.8,-13.7
17-06-2019,443.35,452,434.6,438.35,442.8,23351,840,10339798,5941,25.44,17.4,-5
