Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2018-07-25,84.7,85.0,81.55,82.2,83.39,2964.0,72.0,247163.0,1466.0,49.46,3.45,-2.5
2018-07-24,84.3,87.8,83.55,85.0,85.52,24315.0,327.0,2079475.0,10187.0,41.9,4.25,0.7
2018-07-23,84.6,86.95,84.0,85.4,85.1,14994.0,177.0,1275976.0,7767.0,51.8,2.95,0.8
2018-07-20,82.5,84.95,82.4,84.1,83.64,3964.0,66.0,331562.0,2261.0,57.04,2.55,1.6
2018-07-19,81.75,83.9,80.6,83.5,82.81,5266.0,90.0,436087.0,2332.0,44.28,3.3,1.75
2018-07-18,82.7,83.5,79.3,82.6,81.55,10142.0,193.0,827125.0,5086.0,50.15,4.2,-0.1
2018-07-17,80.4,84.25,80.0,83.35,81.74,10161.0,291.0,830579.0,5548.0,54.6,4.25,2.95
2018-07-16,79.2,82.15,77.65,81.1,80.71,10360.0,150.0,836155.0,6096.0,58.84,4.5,1.9
2018-07-13,82.8,83.1,80.0,81.45,81.11,4874.0,100.0,395347.0,1677.0,34.41,3.1,-1.35
2018-07-12,84.4,84.7,83.0,83.55,84.08,35307.0,248.0,2968437.0,23142.0,65.55,1.7,-0.85
2018-07-11,82.2,84.45,80.65,83.15,82.35,25866.0,473.0,2130022.0,11920.0,46.08,3.8,0.95
2018-07-10,75.0,82.2,74.25,80.85,79.12,30421.0,557.0,2406943.0,14178.0,46.61,7.95,5.85
2018-07-09,74.4,75.8,74.1,75.35,75.34,8585.0,121.0,646784.0,7861.0,91.57,1.7,0.95
2018-07-06,75.2,76.0,72.1,73.25,73.98,17730.0,164.0,1311612.0,13638.0,76.92,3.9,-1.95
2018-07-05,75.6,77.0,73.8,74.9,74.93,21650.0,295.0,1622312.0,12759.0,58.93,3.2,-0.7
2018-07-04,76.95,77.15,74.8,75.55,75.59,7979.0,100.0,603109.0,1885.0,23.62,2.35,-1.4
2018-07-03,75.95,76.9,75.15,76.3,76.07,2243.0,42.0,170630.0,1440.0,64.2,1.75,0.35
2018-07-02,73.7,76.7,72.5,75.95,74.99,18699.0,243.0,1402274.0,7012.0,37.5,4.2,2.25
2018-06-29,71.7,74.3,71.1,73.0,72.05,1398088.0,211.0,100737434.0,1332830.0,95.33,3.2,1.3
2018-06-28,70.9,72.25,70.0,71.6,71.11,7117.0,112.0,506120.0,3361.0,47.22,2.25,0.7
2018-06-27,75.0,75.0,70.0,71.4,71.52,57010.0,507.0,4077118.0,46616.0,81.77,5.0,-3.6
2018-06-26,78.0,78.0,73.3,73.85,74.44,13529.0,254.0,1007112.0,8665.0,64.05,4.7,-4.15
